Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Happiness Score Avg,Total Population (2022),Population Aged < 20 (%),Population Aged > 60 (%),Deaths Due to NCD,World Bank Income Group,GDP per capita (INT$),"Physical Inactivity, Adolescents Aged 11-17 (%), Male","Physical Inactivity, Adolescents Aged 11-17 (%), Female","Physical Inactivity, Adults Aged 18+ (%), Male","Physical Inactivity, Adults Aged 18+ (%), Female","Physical Inactivity, Adults Aged 70+ (%), Male","Physical Inactivity, Adults Aged 70+ (%), Female",Avg Inactivity Adults,Avg Inactivity Adolescents
Switzerland,Western Europe,1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,7.509,"8,741,000",20.00%,26.00%,90.00%,HIGH,,83.0,89.0,22.0,26.0,34.0,41.0,24.0,86.0
Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,7.5114,"373,000",25.00%,21.00%,89.00%,HIGH,,75.0,85.0,24.875,32.5625,35.669642857142854,45.151785714285715,28.71875,80.0
Denmark,Western Europe,3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,7.5911,"5,883,000",22.00%,26.00%,90.00%,HIGH,,82.0,87.0,26.0,31.0,39.0,46.0,28.5,84.5
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,7.492,"5,435,000",23.00%,24.00%,87.00%,HIGH,,79.0,89.0,30.0,34.0,44.0,50.0,32.0,84.0
Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,7.2551000000000005,"38,455,000",21.00%,26.00%,90.00%,HIGH,,71.0,82.0,26.0,31.0,39.0,47.0,28.5,76.5
Finland,Western Europe,6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,7.6354,"5,541,000",21.00%,30.00%,93.00%,HIGH,,69.0,82.0,17.0,16.0,28.0,27.0,16.5,75.5
Netherlands,Western Europe,7,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,7.4266000000000005,"17,565,000",21.00%,27.00%,88.00%,HIGH,,77.0,84.0,25.0,29.0,39.0,44.0,27.0,80.5
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,7.3571,"10,550,000",23.00%,26.00%,89.00%,HIGH,,82.0,87.0,22.0,25.0,34.0,39.0,23.5,84.5
New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,7.268600000000001,"5,186,000",25.00%,22.00%,90.00%,HIGH,,85.0,93.0,39.0,45.0,55.0,62.0,42.0,89.0
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,7.251099999999999,"9,039,000",36.00%,16.00%,85.00%,HIGH,,80.0,90.0,24.875,32.5625,35.669642857142854,45.151785714285715,28.71875,85.0
